"Modelo","a","b","V","H","G","L","N","S","J","Pmoi","Pbola","Npl","Nrl","Npm","Nrm","tetac","Pcp","Pplat","Dcp","Dplat","tipocorda","hl","ll","Dc","t","matcordas","Tec","Npend","Dcabolan","Dcabopend","Dcabomoi","teta","Pc","Pl","M","Lpend","Ljib","Sjib","CC1","CC2","CC3","CC4","D1","D2","D3","D4","Elan"
"American 5750R 90ft","4.08","7.5","0.8","1.49","0.42","27.432","0.38","0.23","1.11","600","120","10","10","4","4","26.87","15600","16960","3.22","0.98","C","1.12","1.12","0.0825","0.0047","ASTM A 514 Gr B (Databook)","689","2","0.016","0.0317","0.022","[25.3, 33.9, 40.9, 47.0, 49.8, 52.5, 55.1, 57.6, 60.1, 62.5, 64.8, 67.1, 69.4, 71.6, 73.8, 75.9, 78.1,80.2, 80.9]","[6650, 7770, 8670, 9760, 10370, 11080, 11630, 12490, 13450, 14630, 15990, 17250, 18160, 19080, 20420,21590, 22930, 24490, 25020]","2450","13.86","17.678","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"American 5750R 100ft","4.08","7.5","0.8","1.49","0.42","30.48","0.38","0.23","1.11","600","120","10","10","4","4","26.87","15600","16960","3.22","0.98","C","1.12","1.12","0.0825","0.0047","ASTM A 514 Gr B (Databook)","689","2","0.016","0.0317","0.022","[19.,28.5,35.7,41.8,47.2,52.1,54.5,56.8,59.,61.2,63.3,65.4,67.5,69.5,71.5,73.5,75.4,77.4,79.3,80.8]","[5010,6250,6960,7690,8580,9650,10200,10650,11070,11520,11990,12500,13080,14080,14780,15520,16400,17350,18520,19510]","2668","14.625","20.7264","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"American 5750R 100ft (8 pernadas na lança)","4.08","7.5","0.8","1.49","0.42","30.48","0.38","0.23","1.11","600","120","8","8","4","4","26.87","15600","16960","3.22","0.98","C","1.12","1.12","0.0825","0.0047","ASTM A 514 Gr B (Databook)","689","2","0.016","0.0317","0.022","[19.,28.5,35.7,41.8,47.2,52.1,54.5,56.8,59.,61.2,63.3,65.4,67.5,69.5,71.5,73.5,75.4,77.4,79.3,80.8]","[5010,6250,6960,7690,8580,9650,10200,10650,11070,11520,11990,12500,13080,14080,14780,15520,16400,17350,18520,19510]","2668","14.625","20.7264","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"American 5750R 110ft","4.08","7.5","0.8","1.49","0.42","33.53","0.38","0.23","1.11","600","120","10","10","4","4","26.87","152600","16960","3.22","0.98","C","1.12","1.12","0.0825","0.0047","ASTM A 514 Gr B (Databook)","689","2","0.016","0.0317","0.022","[23.3,30.9,37.1,42.5,47.3,51.9,56.1,58.1,60.1,62.1,65.9,67.8,69.6,71.4,75.0,76.8,78.5,80.3,81.0]","[6230,7040,7710,8390,9470,10160,10620,10760,11060,11360,12040,12310,12850,13570,14180,15240,16050,16890,17200]","2907","17.66","23.7744","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"American 5750R 120ft","4.08","7.5","0.8","1.49","0.42","36.58","0.38","0.23","1.11","600","120","10","10","4","4","26.87","15600","16960","3.22","0.98","C","1.12","1.12","0.0825","0.0047","ASTM A 514 Gr B (Databook)","689","2","0.016","0.0317","0.022","[17.8,26.3,32.7,38.2,43,47.5,51.6,55.5,59.3,61.1,62.9,64.6,66.3,68,69.7,71.4,73,74.7,76.3,77.9,79.5,80.9]","[4120,4820,5390,5900,6410,6940,7500,7920,8320,8690,9050,9340,9610,9930,10230,10580,10960,11430,11600,11790,12900,13530]","3116","19.25","26.7","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"American 9750 130ft","6.04","6.9","2.33","1.25","0.5708","39.62","0","0","1.543","518","290","14","15","4","4","45","47628","33793","4.44","1.07","L","1.4032","1.4032","0.152","0.01429","ASTM A 572 Gr 55 (Databook)","111","4","0.022","0.0325","0.029","[16.,27.9,36.2,43.1,49.2,54.8,60.,65.,69.8,74.4,76.7,78.9,80.7]","[5067,7217,12955,15418,18248,21577,25678,30876,38229,49265,56300,60015,63017]","9440","22.61","23.774","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"American 9750 140ft","6.04","6.9","2.33","1.25","0.5708","42.672","0","0","1.543","518","290","14","15","4","4","45","47628","33793","4.44","1.07","L","1.4032","1.4032","0.152","0.01429","ASTM A 572 Gr 55 (Databook)","111","4","0.022","0.0325","0.029","[15.5,26.8,34.8,41.4,47.3,52.6,57.6,62.4,66.9,71.3,75.5,77.7,79.7,81.]","[3969,5824,7462,13059,15286,17940,21106,25038,30046,37199,47981,53546,56794,59275]","10111","24.13","26.822","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"American 9750 150ft","6.04","6.9","2.33","1.25","0.5708","45.72","0","0","1.543","518","290","14","15","4","4","45","47628","33793","4.44","1.07","L","1.4032","1.4032","0.152","0.01429","ASTM A 572 Gr 55 (Databook)","111","4","0.022","0.0325","0.029","[14.9,25.9,33.6,40.,45.6,50.7,55.5,60.,64.3,68.5,72.6,76.5,78.5,80.4,80.8]","[2871,4486,5892,7316,12823,14887,17404,20439,24240,29111,36087,46656,50843,53959,54535]","10789","25.65","29.87","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"Nylands Verksted 40/15 37.7m","1.5","12.4","0.9","1.5","1.49","35.7","0.83","0","1","1350","1000","6","6","3","4","45","0","0","0","0","Q","2.08","1.59","0.016","0.01","Não determinado","111","2","0.032","0.051","0.034","[18.,22.,30.,35.,40.,45.,50.,65.,72.,76.8]","[16000,16200,17800,19000,21000,22600,24500,30000,30000,30000]","12770","18.5","21","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"Clarke Chapman HD 44.89m 20tf todos os ang.","4.12","15","11.6","1.15","0.9","45.086","0","0.7225","2.04","1000","750","8","9","2","4","45","0","0","0","0","C","3","2.5","0.2191","0.0125","Não determinado","111","2","0.028","0.1","0.028","[19.256,33.975,44.28,52.898,60.597,67.730,74.499,78.444]","[20000,20000,20000,20000,20000,20000,20000,20000]","26100","22.633","0.1","0","0","0","0","0","0","0","0","0","0","200000000000"
"Tema Terra 380L 105ft","2.57","10.516","2.56","1.54","0.508","32","0","0.356","1.524","408","111","8","8","4","4","45","0","0","0","0","Q","1.219","1.524","0.1016","0.00635","Não determinado","111","2","0.022","0.038","0.022","[0.,17.6,22.8,27.,30.7,34.1,37.2,40.,42.7,45.3,47.8,50.2,52.5,54.7,56.8,59.0,61.,63.,65.,67.,68.9,70.8,72.7,74.5,76.5,79.]","[7550.,8500.,9150.,9800.,10450.,11100.,11800.,12400.,13100.,13800.,14500.,15250.,16000.,16650.,17350.,18150.,19200.,20300.,21500.,22750.,24000.,25000.,25000.,25000.,25000.,25000.,]","5750","18.6","13.43","1","0.5","0","0","0","0","0","0","0","0","200000000000"
"Weatherford OM 1600 160ft","3.36","11.15","1.8","0.95","0.452","48.8","0","0","1.7","513.9","183.3","12","12","4","5","45","0","0","0","0","Q","1.67","1.67","0.1524","0.00794","Não determinado","111","2","0.022","0.05085","0.022","[0.,8.,18.4,24.9,30.,34.5,38.4,42.1,45.5,48.7,51.8,54.7,57.6,60.3,63.,65.6,68.2,70.7,73.1,75.6,78.,80.4,81.]","[7440,8400,10200,11250,12140,13090,14120,15290,16510,17590,18730,19990,21330,22810,24540,26240,26760,26760,26760,26760,26760,26760,26760]","14560","25.1","35.052","1","0.5","0","0","0","0","0","0","0","0","200000000000"
